,"en-US","de-DE","es-ES","fr-FR","it-IT","ja-JP","ko-KR","pl-PL","pt-BR","ru-RU","zh-HANS","zh-HANT"
"@@BoldPaper","**@@InfomodeTitlePaper**","**@@InfomodeTitlePaper**","**@@InfomodeTitlePaper**","**@@InfomodeTitlePaper**","**@@InfomodeTitlePaper**","**@@InfomodeTitlePaper**","**@@InfomodeTitlePaper**","**@@InfomodeTitlePaper**","**@@InfomodeTitlePaper**","**@@InfomodeTitlePaper**","**@@InfomodeTitlePaper**","**@@InfomodeTitlePaper**"
"@@BoldFurniture","**@@InfomodeTitleFurniture**","**@@InfomodeTitleFurniture**","**@@InfomodeTitleFurniture**","**@@InfomodeTitleFurniture**","**@@InfomodeTitleFurniture**","**@@InfomodeTitleFurniture**","**@@InfomodeTitleFurniture**","**@@InfomodeTitleFurniture**","**@@InfomodeTitleFurniture**","**@@InfomodeTitleFurniture**","**@@InfomodeTitleFurniture**","**@@InfomodeTitleFurniture**"
,,,,,,,,,,,,
"@@BoldSoftware","**@@InfomodeTitleSoftware**","**@@InfomodeTitleSoftware**","**@@InfomodeTitleSoftware**","**@@InfomodeTitleSoftware**","**@@InfomodeTitleSoftware**","**@@InfomodeTitleSoftware**","**@@InfomodeTitleSoftware**","**@@InfomodeTitleSoftware**","**@@InfomodeTitleSoftware**","**@@InfomodeTitleSoftware**","**@@InfomodeTitleSoftware**","**@@InfomodeTitleSoftware**"
"@@BoldTelecom","**@@InfomodeTitleTelecom**","**@@InfomodeTitleTelecom**","**@@InfomodeTitleTelecom**","**@@InfomodeTitleTelecom**","**@@InfomodeTitleTelecom**","**@@InfomodeTitleTelecom**","**@@InfomodeTitleTelecom**","**@@InfomodeTitleTelecom**","**@@InfomodeTitleTelecom**","**@@InfomodeTitleTelecom**","**@@InfomodeTitleTelecom**","**@@InfomodeTitleTelecom**"
"@@BoldFinancial","**@@InfomodeTitleFinancial**","**@@InfomodeTitleFinancial**","**@@InfomodeTitleFinancial**","**@@InfomodeTitleFinancial**","**@@InfomodeTitleFinancial**","**@@InfomodeTitleFinancial**","**@@InfomodeTitleFinancial**","**@@InfomodeTitleFinancial**","**@@InfomodeTitleFinancial**","**@@InfomodeTitleFinancial**","**@@InfomodeTitleFinancial**","**@@InfomodeTitleFinancial**"
"@@BoldMedia","**@@InfomodeTitleMedia**","**@@InfomodeTitleMedia**","**@@InfomodeTitleMedia**","**@@InfomodeTitleMedia**","**@@InfomodeTitleMedia**","**@@InfomodeTitleMedia**","**@@InfomodeTitleMedia**","**@@InfomodeTitleMedia**","**@@InfomodeTitleMedia**","**@@InfomodeTitleMedia**","**@@InfomodeTitleMedia**","**@@InfomodeTitleMedia**"
"@@BoldLodging","**@@InfomodeTitleLodging**","**@@InfomodeTitleLodging**","**@@InfomodeTitleLodging**","**@@InfomodeTitleLodging**","**@@InfomodeTitleLodging**","**@@InfomodeTitleLodging**","**@@InfomodeTitleLodging**","**@@InfomodeTitleLodging**","**@@InfomodeTitleLodging**","**@@InfomodeTitleLodging**","**@@InfomodeTitleLodging**","**@@InfomodeTitleLodging**"
"@@BoldMeals","**@@InfomodeTitleMeals**","**@@InfomodeTitleMeals**","**@@InfomodeTitleMeals**","**@@InfomodeTitleMeals**","**@@InfomodeTitleMeals**","**@@InfomodeTitleMeals**","**@@InfomodeTitleMeals**","**@@InfomodeTitleMeals**","**@@InfomodeTitleMeals**","**@@InfomodeTitleMeals**","**@@InfomodeTitleMeals**","**@@InfomodeTitleMeals**"
"@@BoldEntertainment","**@@InfomodeTitleEntertainment**","**@@InfomodeTitleEntertainment**","**@@InfomodeTitleEntertainment**","**@@InfomodeTitleEntertainment**","**@@InfomodeTitleEntertainment**","**@@InfomodeTitleEntertainment**","**@@InfomodeTitleEntertainment**","**@@InfomodeTitleEntertainment**","**@@InfomodeTitleEntertainment**","**@@InfomodeTitleEntertainment**","**@@InfomodeTitleEntertainment**","**@@InfomodeTitleEntertainment**"
"@@BoldRecreation","**@@InfomodeTitleRecreation**","**@@InfomodeTitleRecreation**","**@@InfomodeTitleRecreation**","**@@InfomodeTitleRecreation**","**@@InfomodeTitleRecreation**","**@@InfomodeTitleRecreation**","**@@InfomodeTitleRecreation**","**@@InfomodeTitleRecreation**","**@@InfomodeTitleRecreation**","**@@InfomodeTitleRecreation**","**@@InfomodeTitleRecreation**","**@@InfomodeTitleRecreation**"
,,,,,,,,,,,,
,,,,,,,,,,,,
"# Display option text.",,,,,,,,,,,,
"DisplayOptionRequires","$$SelectedInfoPanel.COMPANY_REQUIRES","$$SelectedInfoPanel.COMPANY_REQUIRES","$$SelectedInfoPanel.COMPANY_REQUIRES","$$SelectedInfoPanel.COMPANY_REQUIRES","$$SelectedInfoPanel.COMPANY_REQUIRES","$$SelectedInfoPanel.COMPANY_REQUIRES","$$SelectedInfoPanel.COMPANY_REQUIRES","$$SelectedInfoPanel.COMPANY_REQUIRES","$$SelectedInfoPanel.COMPANY_REQUIRES","$$SelectedInfoPanel.COMPANY_REQUIRES","$$SelectedInfoPanel.COMPANY_REQUIRES","$$SelectedInfoPanel.COMPANY_REQUIRES"
"DisplayOptionProduces","$$SelectedInfoPanel.COMPANY_PRODUCES","$$SelectedInfoPanel.COMPANY_PRODUCES","$$SelectedInfoPanel.COMPANY_PRODUCES","$$SelectedInfoPanel.COMPANY_PRODUCES","$$SelectedInfoPanel.COMPANY_PRODUCES","$$SelectedInfoPanel.COMPANY_PRODUCES","$$SelectedInfoPanel.COMPANY_PRODUCES","$$SelectedInfoPanel.COMPANY_PRODUCES","$$SelectedInfoPanel.COMPANY_PRODUCES","$$SelectedInfoPanel.COMPANY_PRODUCES","$$SelectedInfoPanel.COMPANY_PRODUCES","$$SelectedInfoPanel.COMPANY_PRODUCES"
"DisplayOptionSells","$$SelectedInfoPanel.COMPANY_SELLS","$$SelectedInfoPanel.COMPANY_SELLS","$$SelectedInfoPanel.COMPANY_SELLS","$$SelectedInfoPanel.COMPANY_SELLS","$$SelectedInfoPanel.COMPANY_SELLS","$$SelectedInfoPanel.COMPANY_SELLS","$$SelectedInfoPanel.COMPANY_SELLS","$$SelectedInfoPanel.COMPANY_SELLS","$$SelectedInfoPanel.COMPANY_SELLS","$$SelectedInfoPanel.COMPANY_SELLS","$$SelectedInfoPanel.COMPANY_SELLS","$$SelectedInfoPanel.COMPANY_SELLS"
"DisplayOptionStores","$$SelectedInfoPanel.COMPANY_STORES","$$SelectedInfoPanel.COMPANY_STORES","$$SelectedInfoPanel.COMPANY_STORES","$$SelectedInfoPanel.COMPANY_STORES","$$SelectedInfoPanel.COMPANY_STORES","$$SelectedInfoPanel.COMPANY_STORES","$$SelectedInfoPanel.COMPANY_STORES","$$SelectedInfoPanel.COMPANY_STORES","$$SelectedInfoPanel.COMPANY_STORES","$$SelectedInfoPanel.COMPANY_STORES","$$SelectedInfoPanel.COMPANY_STORES","$$SelectedInfoPanel.COMPANY_STORES"
"DisplayOptionTooltip","Show buildings that require, produce, sell, or store a selected resource.","Zeigen Sie Gebäude an, die eine ausgewählte Ressource benötigen, produzieren, verkaufen oder lagern.","Mostrar edificios que requieren, producen, venden o almacenan un recurso seleccionado.","Afficher les bâtiments qui nécessitent, produisent, vendent ou stockent une ressource sélectionnée.","Mostra gli edifici che richiedono, producono, vendono o immagazzinano una risorsa selezionata.","選択したリソースを必要とする、生産する、販売する、または保管する建物を表示します。","선택한 자원을 필요로 하거나, 생산하거나, 판매하거나, 저장하는 건물을 보여줍니다.","Pokaż budynki, które wymagają, produkują, sprzedają lub przechowują wybrany zasób.","Mostrar edifícios que requerem, produzem, vendem ou armazenam um recurso selecionado.","Покажите здания, которые требуют, производят, продают или хранят выбранный ресурс.","显示需要、生产、销售或存储选定资源的建筑物。","顯示需要、生產、銷售或儲存選定資源的建築物。"
"DisplayOptionTooltip","If a building requires, produces, or stores more than one resource, the building color is set according to the top selected resource.","Wenn ein Gebäude mehr als eine Ressource benötigt, produziert oder speichert, wird die Gebäudefarbe entsprechend der obersten ausgewählten Ressource festgelegt.","Si un edificio requiere, produce o almacena más de un recurso, el color del edificio se establece de acuerdo con el recurso seleccionado más alto.","Si un bâtiment nécessite, produit ou stocke plus d'une ressource, la couleur du bâtiment est définie en fonction de la ressource sélectionnée en haut.","Se un edificio richiede, produce o immagazzina più di una risorsa, il colore dell'edificio viene impostato in base alla risorsa selezionata in cima.","建物が複数のリソースを必要とする、生産する、または保管する場合、建物の色は選択された最上位のリソースに応じて設定されます。","건물에 두 개 이상의 자원이 필요하거나, 생산하거나, 저장하는 경우 건물 색상은 맨 위에 선택된 자원에 따라 설정됩니다.","Jeśli budynek wymaga, produkuje lub przechowuje więcej niż jeden zasób, kolor budynku jest ustawiany na podstawie zasobu wybranego najwyżej na liście.","Se um edifício exigir, produzir ou armazenar mais de um recurso, a cor do edifício será definida de acordo com o recurso selecionado no topo.","Если здание требует, производит или хранит более одного ресурса, цвет здания устанавливается в соответствии с самым верхним выбранным ресурсом.","如果建筑物需要、生产或储存多种资源，则建筑物颜色将根据最顶层选定的资源进行设置。","如果建築物需要、生產或儲存多種資源，則建築物顏色將根據最上方選定的資源設定。"
,,,,,,,,,,,,
"# Infomode tooltips.",,,,,,,,,,,,
"@@HarvestedBy","Harvested by specialized industry: ","Von spezialisierter Industrie geerntet:","Cosechado por industria especializada:","Récolté par une industrie spécialisée :","Raccolto da industria specializzata:","専門産業による収穫:","전문 산업에서 수확:","Zbierane przez wyspecjalizowany przemysł:","Colhido pela indústria especializada:","Получено из специализированной промышленности:","从特殊行业获得：","從特殊行業獲得："
"@@ExtractedBy","Extracted by specialized industry: ","Von spezialisierter Industrie extrahiert:","Extraído por industria especializada:","Extrait par une industrie spécialisée :","Estratto da industria specializzata:","専門産業による抽出:","전문 산업에서 추출:","Ekstrahowane przez wyspecjalizowany przemysł:","Extraído pela indústria especializada:","Получено из специализированной промышленности:","从特殊行业获得：","從特殊行業獲得："
"@@ProducedFrom","Produced from:","Hergestellt aus:","Producido a partir de:","Produit à partir de :","Prodotto da:","作成元:","생산처:","Wyprodukowano z:","Produzido de:","Произведено из:","产自：","生產自："
"@@RequiredToProduce","Required to produce:","Erforderlich zur Herstellung von:","Necesario para producir:","Requis pour produire :","Necessario per produrre:","作成に必要なもの:","생산에 필요한 것:","Wymagane do wytworzenia:","Necessário para produzir:","Требуется для производства:","生产所需：","需要製作："
"@@RequiredFor","Required for:","Erforderlich für:","Necesario para:","Requis pour :","Necessario per:","必要なもの:","필요한 것:","Wymagane do:","Necessário para:","Требуется для:","所需：","需要用於："
"@@UsedBy","Used by:","Verwendet von:","Usado por:","Utilisé par :","Utilizzato da:","用途:","사용처:","Używane przez:","Usado por:","Используется:","用法：","用法："
"@@ConjunctionAnd","and","und","y","et","e","および","그리고","i","e","и","和","和"
"@@ConjunctionOr","or","oder","o","ou","o","または","또는","lub","ou","или","或","或者"
,,,,,,,,,,,,
"@@Forestry","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Forestry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Forestry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Forestry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Forestry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Forestry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Forestry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Forestry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Forestry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Forestry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Forestry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Forestry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Forestry]"
"@@Agriculture","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Agriculture]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Agriculture]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Agriculture]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Agriculture]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Agriculture]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Agriculture]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Agriculture]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Agriculture]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Agriculture]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Agriculture]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Agriculture]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Agriculture]"
"@@OilDrilling","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Extraction]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Extraction]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Extraction]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Extraction]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Extraction]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Extraction]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Extraction]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Extraction]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Extraction]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Extraction]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Extraction]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Extraction]"
"@@Mining","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Mining]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Mining]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Mining]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Mining]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Mining]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Mining]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Mining]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Mining]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Mining]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Mining]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Mining]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Mining]"
"@@FromForestry","@@HarvestedBy **@@Forestry**","@@HarvestedBy **@@Forestry**","@@HarvestedBy **@@Forestry**","@@HarvestedBy **@@Forestry**","@@HarvestedBy **@@Forestry**","@@HarvestedBy **@@Forestry**","@@HarvestedBy **@@Forestry**","@@HarvestedBy **@@Forestry**","@@HarvestedBy **@@Forestry**","@@HarvestedBy **@@Forestry**","@@HarvestedBy **@@Forestry**","@@HarvestedBy **@@Forestry**"
"@@FromAgriculture","@@HarvestedBy **@@Agriculture**","@@HarvestedBy **@@Agriculture**","@@HarvestedBy **@@Agriculture**","@@HarvestedBy **@@Agriculture**","@@HarvestedBy **@@Agriculture**","@@HarvestedBy **@@Agriculture**","@@HarvestedBy **@@Agriculture**","@@HarvestedBy **@@Agriculture**","@@HarvestedBy **@@Agriculture**","@@HarvestedBy **@@Agriculture**","@@HarvestedBy **@@Agriculture**","@@HarvestedBy **@@Agriculture**"
"@@FromOilDrilling","@@ExtractedBy **@@OilDrilling**","@@ExtractedBy **@@OilDrilling**","@@ExtractedBy **@@OilDrilling**","@@ExtractedBy **@@OilDrilling**","@@ExtractedBy **@@OilDrilling**","@@ExtractedBy **@@OilDrilling**","@@ExtractedBy **@@OilDrilling**","@@ExtractedBy **@@OilDrilling**","@@ExtractedBy **@@OilDrilling**","@@ExtractedBy **@@OilDrilling**","@@ExtractedBy **@@OilDrilling**","@@ExtractedBy **@@OilDrilling**"
"@@FromMining","@@ExtractedBy **@@Mining**","@@ExtractedBy **@@Mining**","@@ExtractedBy **@@Mining**","@@ExtractedBy **@@Mining**","@@ExtractedBy **@@Mining**","@@ExtractedBy **@@Mining**","@@ExtractedBy **@@Mining**","@@ExtractedBy **@@Mining**","@@ExtractedBy **@@Mining**","@@ExtractedBy **@@Mining**","@@ExtractedBy **@@Mining**","@@ExtractedBy **@@Mining**"
,,,,,,,,,,,,
"@@Heating","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Heating]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Heating]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Heating]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Heating]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Heating]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Heating]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Heating]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Heating]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Heating]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Heating]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Heating]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Heating]"
"@@Upkeep","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Upkeep]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Upkeep]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Upkeep]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Upkeep]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Upkeep]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Upkeep]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Upkeep]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Upkeep]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Upkeep]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Upkeep]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Upkeep]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Upkeep]"
"@@Consumers","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Consumers]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Consumers]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Consumers]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Consumers]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Consumers]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Consumers]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Consumers]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Consumers]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Consumers]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Consumers]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Consumers]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Consumers]"
"@@Industry","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Industry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Industry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Industry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Industry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Industry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Industry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Industry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Industry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Industry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Industry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Industry]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Industry]"
"@@Offices","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Offices]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Offices]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Offices]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Offices]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Offices]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Offices]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Offices]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Offices]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Offices]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Offices]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Offices]","$$EconomyPanel.PRODUCTION_PAGE_PRODUCTIONLINK[Offices]"
"@@Electricity","$$EconomyPanel.SERVICES_RESOURCE_LABEL[Electricity]","$$EconomyPanel.SERVICES_RESOURCE_LABEL[Electricity]","$$EconomyPanel.SERVICES_RESOURCE_LABEL[Electricity]","$$EconomyPanel.SERVICES_RESOURCE_LABEL[Electricity]","$$EconomyPanel.SERVICES_RESOURCE_LABEL[Electricity]","$$EconomyPanel.SERVICES_RESOURCE_LABEL[Electricity]","$$EconomyPanel.SERVICES_RESOURCE_LABEL[Electricity]","$$EconomyPanel.SERVICES_RESOURCE_LABEL[Electricity]","$$EconomyPanel.SERVICES_RESOURCE_LABEL[Electricity]","$$EconomyPanel.SERVICES_RESOURCE_LABEL[Electricity]","$$EconomyPanel.SERVICES_RESOURCE_LABEL[Electricity]","$$EconomyPanel.SERVICES_RESOURCE_LABEL[Electricity]"
"@@FireRescue","$$Services.NAME[Fire & Rescue]","$$Services.NAME[Fire & Rescue]","$$Services.NAME[Fire & Rescue]","$$Services.NAME[Fire & Rescue]","$$Services.NAME[Fire & Rescue]","$$Services.NAME[Fire & Rescue]","$$Services.NAME[Fire & Rescue]","$$Services.NAME[Fire & Rescue]","$$Services.NAME[Fire & Rescue]","$$Services.NAME[Fire & Rescue]","$$Services.NAME[Fire & Rescue]","$$Services.NAME[Fire & Rescue]"
"@@HealthcareDeathcare","$$Services.NAME[Health & Deathcare]","$$Services.NAME[Health & Deathcare]","$$Services.NAME[Health & Deathcare]","$$Services.NAME[Health & Deathcare]","$$Services.NAME[Health & Deathcare]","$$Services.NAME[Health & Deathcare]","$$Services.NAME[Health & Deathcare]","$$Services.NAME[Health & Deathcare]","$$Services.NAME[Health & Deathcare]","$$Services.NAME[Health & Deathcare]","$$Services.NAME[Health & Deathcare]","$$Services.NAME[Health & Deathcare]"
"@@RecyclingCenter","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]"
,,,,,,,,,,,,
"@@ImportExport","Can be imported and exported.","Kann importiert und exportiert werden.","Se puede importar y exportar.","Peut être importé et exporté.","Può essere importato ed esportato.","インポートおよびエクスポートできます。","수입 및 수출 가능.","Można importować i eksportować.","Pode ser importado e exportado.","Можно импортировать и экспортировать.","可以导入和导出。","可以匯入和匯出。"
"@@LocalOnly","Available only locally.","Nur lokal verfügbar.","Disponible solo a nivel local.","Disponible uniquement localement.","Disponibile solo localmente.","ローカルでのみ利用可能です。","현지에서만 이용 가능.","Dostępne tylko lokalnie.","Disponível apenas localmente.","Доступно только локально.","仅在本地可用。","僅在本地可用。"
,,,,,,,,,,,,
"InfomodeTooltipWood","@@FromForestry","@@FromForestry","@@FromForestry","@@FromForestry","@@FromForestry","@@FromForestry","@@FromForestry","@@FromForestry","@@FromForestry","@@FromForestry","@@FromForestry","@@FromForestry"
"InfomodeTooltipWood","@@RequiredToProduce @@BoldTimber","@@RequiredToProduce @@BoldTimber","@@RequiredToProduce @@BoldTimber","@@RequiredToProduce @@BoldTimber","@@RequiredToProduce @@BoldTimber","@@RequiredToProduce @@BoldTimber","@@RequiredToProduce @@BoldTimber","@@RequiredToProduce @@BoldTimber","@@RequiredToProduce @@BoldTimber","@@RequiredToProduce @@BoldTimber","@@RequiredToProduce @@BoldTimber","@@RequiredToProduce @@BoldTimber"
"InfomodeTooltipWood","@@UsedBy **@@Heating**","@@UsedBy **@@Heating**","@@UsedBy **@@Heating**","@@UsedBy **@@Heating**","@@UsedBy **@@Heating**","@@UsedBy **@@Heating**","@@UsedBy **@@Heating**","@@UsedBy **@@Heating**","@@UsedBy **@@Heating**","@@UsedBy **@@Heating**","@@UsedBy **@@Heating**","@@UsedBy **@@Heating**"
"InfomodeTooltipWood","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipGrain","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture"
"InfomodeTooltipGrain","@@RequiredToProduce @@BoldPetrochemicals, @@BoldBeverages, @@ConjunctionAnd @@BoldConvenienceFood","@@RequiredToProduce @@BoldPetrochemicals, @@BoldBeverages, @@ConjunctionAnd @@BoldConvenienceFood","@@RequiredToProduce @@BoldPetrochemicals, @@BoldBeverages, @@ConjunctionAnd @@BoldConvenienceFood","@@RequiredToProduce @@BoldPetrochemicals, @@BoldBeverages, @@ConjunctionAnd @@BoldConvenienceFood","@@RequiredToProduce @@BoldPetrochemicals, @@BoldBeverages, @@ConjunctionAnd @@BoldConvenienceFood","@@RequiredToProduce @@BoldPetrochemicals, @@BoldBeverages, @@ConjunctionAnd @@BoldConvenienceFood","@@RequiredToProduce @@BoldPetrochemicals, @@BoldBeverages, @@ConjunctionAnd @@BoldConvenienceFood","@@RequiredToProduce @@BoldPetrochemicals, @@BoldBeverages, @@ConjunctionAnd @@BoldConvenienceFood","@@RequiredToProduce @@BoldPetrochemicals, @@BoldBeverages, @@ConjunctionAnd @@BoldConvenienceFood","@@RequiredToProduce @@BoldPetrochemicals, @@BoldBeverages, @@ConjunctionAnd @@BoldConvenienceFood","@@RequiredToProduce @@BoldPetrochemicals, @@BoldBeverages, @@ConjunctionAnd @@BoldConvenienceFood","@@RequiredToProduce @@BoldPetrochemicals, @@BoldBeverages, @@ConjunctionAnd @@BoldConvenienceFood"
